# Average execution times (ms) of incrementers with N threads
# Note: This is placeholder data
# Sequential, Thread, ExecutorService, ForkJoinPool, ParallelStream, JavaSort
# N   Seq    ES     FJP   PS    JS
1     1104   1118   1018  1012  900
2     1104   847    561   682   473
4     1104   664    333   426   241
8     1104   524    203   248   117
16    1104   413    136   162   57
32    1104   347    108   126   38
48    1104   353    104   120   31
64    1104   297    108   116   30
96    1104   297    104   119   29

